_ID (Object),Accession Number,Temp ID,Artist Sort Name,Display Artist,Display Title,Display Medium,Display Dimensions,Display Create Date,City,County,Feature Description,TGN ID,Geoname,Historic place,Neighborhood,Direction,Guess,Extent,State Province,Object Type,Media Filepath ,EMA web address
134542,2009.419,PH09.132,"Jones, William",William Jones,"Rialto [church] from ""The Golden State""",dye destruction print,8 in. x 12 in. (20.32 cm x 30.48 cm),2001,Rialto,San Bernardino,Rialto,2013580,,,,,,,California,photograph,S:\Photography\Accessions\2009-2010 Accessions\YEG\JOnes\bbc 6219.jpg,
8119,91.286,,"Wessel, Henry",Henry Wessel,"San Anselmo, California",gelatin silver print,8 in. x 11 7/8 in. (20.32  x 30.16 cm),1973,San Anselmo,Marin,San Anselmo,2013819,,,,,,,California,photograph,I:\Images\04_Web\1991\91.286.jpg,
11301,84.349.14,,"Deal, Joe",Joe Deal,"San Fernando, California, from the portfolio The Fault Zone",gelatin silver print ,11 1/4 in. x 11 3/16 in. (28.58 cm x 28.42 cm),"1978, printed 1981",San Fernando,Los Angeles,San Fernando,2013927,,,,,,,California,photograph,I:\Images\04_Web\1984\84.349.14.jpg,http://www.sfmoma.org/explore/collection/artwork/11301
134544,2009.42,PH09.133,"Jones, William",William Jones,"San Fernando [beauty salon] from ""The Golden State""",dye destruction print,8 in. x 12 in. (20.32 cm x 30.48 cm),2001,San Fernando,Los Angeles,San Fernando,2013927,,,,,,,California,photograph,S:\Photography\Accessions\2009-2010 Accessions\YEG\JOnes\bbc 6220.jpg,
29077,98.789,PH98769,"Watkins, Carleton E.",Carleton E. Watkins,"Lawson's Camp, San Luis Obispo ",albumen print,4 5/8 in. x 8 1/8 in. (11.75 cm x 20.64 cm),ca. 1890,San Luis Obispo ,San Luis Obispo,San Luis Obispo ,2014030,,,,,,,California,photograph,I:\Images\04_Web\1998\98.789.jpg,
29078,98.79,PH98770,"Watkins, Carleton E.",Carleton E. Watkins,"Lawson's Camp, San Luis Obispo ",albumen print,4 1/2 in. x 7 1/4 in. (11.43 cm x 18.42 cm),ca. 1890,San Luis Obispo ,San Luis Obispo,San Luis Obispo ,2014030,,,,,,,California,photograph,I:\Images\04_Web\1998\98.790.jpg,
12473,71.71.8,,"Lange, Dorothea",Dorothea Lange,"San Miguel Mission, Erected 1797 by the Franciscan Fathers. California",gelatin silver print,3 9/16  x 4 5/8 in. (9.05  x 11.75 cm),1936; printed 1971,San Miguel,San Luis Obispo,San Miguel,2014049,,San Miguel Mission,,,,,California,photograph,I:\Images\04_Web\1971\71.71.8_01_g04.jpg,http://www.sfmoma.org/explore/collection/artwork/12473
123919,,PST0523,"Owens, Bill",Bill Owens,Lunch Table golf course at San Ramon Country Club,gelatin silver print,6 in. x 8 1/2 in. (15.24 cm x 21.59 cm),ca. 1974,San Ramon,Contra Costa,San Ramon,2014063,,,,,,,California,photograph,I:\Images\04_Web\PST\PST0523.jpg,
119181,2005.447,PGPH04.495,"Borensztein, Leon",Leon Borensztein,"Mother and Daughter in Black Dresses, Santa Rosa, California, from the series American Portraits",gelatin silver print,24 in. x 20 in. (60.96 cm x 50.8 cm),1980,Santa Rosa,Sonoma,Santa Rosa,2014133,,,,,,,California,photograph,I:\Images\04_Web\2005\2005.447.jpg,
119184,2005.442,PGPH04.498,"Borensztein, Leon",Leon Borensztein,"Father with Two Sons, Santa Rosa, California, from the series American Portraits",gelatin silver print,24 in. x 20 in. (60.96 cm x 50.8 cm),1981,Santa Rosa,Sonoma,Santa Rosa,2014133,,,,,,,California,photograph,I:\Images\04_Web\2005\2005.442.jpg,
140900,,PGPH11.051,"Sultan, Larry",Larry Sultan,"Creek, Santa Rosa, from the series Homeland",chromogenic print,68 in. x 56 in. (172.72 cm x 142.24 cm),2007,Santa Rosa,Sonoma,Santa Rosa,2014133,,,,,,,California,photograph,C:\Documents and Settings\lsutcliffe\Local Settings\Temporary Internet Files\Content.Outlook\SGNSRSH2\02_Creek  Santa Rosa 2007.jpg,
10088,81.275,,"Adams, Ansel",Ansel Adams,"Paul Masson Vineyards, Saratoga",gelatin silver print,15 7/8 in. x 19 7/16 in. (40.32 cm x 49.37 cm),ca. 1959,Saratoga,Santa Clara,Saratoga,2014156,,Paul Masson Vineyards,Santa Clara,,,,California,photograph,I:\Images\04_Web\1981\81.275_01_b04.jpg,http://www.sfmoma.org/explore/collection/artwork/10088
28319,70.40.7,,"Jones, Pirkle",Pirkle Jones,"Worker, Saratoga, California",gelatin silver print,,1958,Saratoga,Santa Clara,Saratoga,2014156,,,,,,,California,photograph,I:\Images\04_Web\1970\70.40.7_01_s04.jpg,
10207,80.467,,"Baltz, Lewis",Lewis Baltz,"Tract House #15, from the portfolio Tract Houses",gelatin silver print,5 13/16 in. x 8 7/16 in. (14.76 cm x 21.43 cm),1971,Sausalito,Marin,Sausalito,2014167,,,,,,,California,photograph,I:\Images\04_Web\1980\80.467.jpg,http://www.sfmoma.org/explore/collection/artwork/10207
10206,80.466,,"Baltz, Lewis",Lewis Baltz,"Tract House #22, from the portfolio Tract Houses",gelatin silver print,5 11/16 in. x 8 11/16 in. (14.48 cm x 22.1 cm),1971,Sausalito,Marin,Sausalito,2014167,,,,,,,California,photograph,I:\Images\04_Web\1980\80.466.jpg,http://www.sfmoma.org/explore/collection/artwork/10206
28325,80.29,,"Jones, Pirkle",Pirkle Jones,"Untitled (General View of Gate Five, looking south east from Gate Six, 1970)",gelatin silver print,,1970,Sausalito ,Marin,Sausalito,2014167,,,,,,,California,photograph,I:\Images\04_Web\1980\80.29.jpg,
28328,79.284,,"Jones, Pirkle",Pirkle Jones,"Untitled (Iasos, Gate five , 1970)",gelatin silver print,,1970,Sausalito ,Marin,Sausalito,2014167,,,,,,,California,photograph,I:\Images\04_Web\1979\79.284.JPG,
